procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   5164  90248 120280 973468    0    0    20    56  651  428  4  5 91  0  0
 0  0   5164  90248 120280 973468    0    0    20    20  223  344  2  2 96  0  0
 0  0   5164  90248 120280 973468    0    0    24     4  230  364  4  1 95  0  0
 0  0   5164  90248 120280 973468    0    0    20     4  184  356  2  1 97  0  0
 0  0   5164  90248 120280 973472    0    0    20     4  214  367  3  4 93  0  0
 0  0   5164  90248 120288 973464    0    0    20    64  475  436  2  7 91  0  0
 0  0   5164  90248 120288 973476    0    0    20     4  154  354  3  1 96  0  0
 0  0   5164  90248 120288 973476    0    0    20     4  248  387  3  2 95  0  0
 0  0   5164  90248 120288 973480    0    0    20     4  218  399  3  1 96  0  0
 0  0   5164  90248 120288 973480    0    0    20     4  120  331  3  0 97  0  0
 0  0   5164  90248 120296 973480    0    0    20    56  151  347  3  0 97  0  0
 0  0   5164  90248 120296 973480    0    0    20     4  527  413  2  5 93  0  0
 5  0   5164  90248 120296 973504    0    0    20     4  180  330  2  2 96  0  0
 2  0   5164  90248 120296 973484    0    0     0     0  150  278  1  1 98  0  0
 0  0   5164  90248 120296 973484    0    0    20     4  286  395  4  2 94  0  0
 0  0   5164  90248 120296 973484    0    0     0     0  431  306  1  3 96  0  0
 0  0   5164  89924 120304 973492    0    0    20    88  343  388  2  4 94  0  0
 0  0   5164  89924 120304 973492    0    0     0     0  320  276  2  3 95  0  0
 0  0   5164  89924 120304 973492    0    0    20     4  185  375  2  0 98  0  0
 1  0   5164  89924 120304 973492    0    0     0     0  401  262  1  4 95  0  0
 0  0   5164  89924 120304 973496    0    0    20     4  202  349  3  1 96  0  0
 0  0   5164  89924 120312 973496    0    0     0    68  242  255  1  1 98  0  0
 0  0   5164  89924 120312 973496    0    0    20   492  421  388  3  4 93  0  0
 0  0   5164  89924 120312 973496    0    0     0     0  229  269  2  3 95  0  0
 0  0   5164  89924 120312 973500    0    0    20     4  140  337  3  0 97  0  0
 0  0   5164  89924 120312 973500    0    0     0     0   96  211  2  0 98  0  0
 0  0   5164  89924 120320 973504    0    0    20    64  538  441  3  5 92  0  0
 0  0   5164  89924 120320 973504    0    0    20     4  178  345  2  0 98  0  0
 0  0   5164  89924 120320 973504    0    0     0     0  222  269  3  2 95  0  0
 0  0   5164  89924 120320 973508    0    0    20     4  387  374  4  2 94  0  0
 0  0   5164  89924 120320 973508    0    0    20     4  336  376  3  4 93  0  0
 0  0   5164  89924 120328 973508    0    0    20    56  155  331  3  0 97  0  0
 0  0   5164  89924 120328 973508    0    0    20    20  766  419  3  9 88  0  0
 0  0   5164  89924 120328 973512    0    0    20     4  199  360  3  0 97  0  0
 0  0   5164  89924 120328 973512    0    0    20     4  359  366  2  2 96  0  0
 0  0   5164  89924 120328 973512    0    0    20     4  288  399  3  2 95  0  0
 0  0   5164  89924 120336 973516    0    0    20    64  444  384  2  5 93  0  0
 0  0   5164  89924 120336 973520    0    0    20     4  250  358  3  1 96  0  0
 0  0   5164  89924 120336 973520    0    0    20     4  505  379  2  3 95  0  0
 0  0   5164  89924 120336 973520    0    0    20     4  279  390  7  3 90  0  0
 0  0   5164  89924 120336 973520    0    0    20     4  130  312  1  0 99  0  0
 0  0   5164  89924 120344 973524    0    0    20    56  482  395  3  5 91  1  0
 0  0   5164  89924 120344 973528    0    0    20     4  208  325  2  0 98  0  0
 0  0   5164  89924 120344 973528    0    0    20     4  352  338  2  3 95  0  0
 0  0   5164  89924 120344 973536    0    0    20     8  275  380  3  3 94  0  0
 0  0   5164  90144 120344 973536    0    0    20     4  773  479  2  8 90  0  0
 0  0   5164  90176 120368 973536    0    0    24   164  492  447  2  5 93  0  0
 0  0   5164  90176 120368 973536    0    0    24     4  111  290  2  0 98  0  0
 0  0   5164  90176 120368 973540    0    0    24     4  102  304  4  0 96  0  0
 1  0   5164  90144 120368 973540    0    0    24     4   88  290  1  0 99  0  0
 0  0   5164  90176 120368 973540    0    0    24     4   98  293  4  0 96  0  0
 0  0   5164  90176 120376 973540    0    0    24    80  119  297  2  0 98  0  0
