procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  31884 101944  30396 631328    0    0    16     4  305 1004 19  5 76  0  0
 0  0  31884 101944  30396 631332    0    0    12     4  550  493  7 10 83  0  0
 0  0  31884 101944  30396 631332    0    0    12     4  768  508  7 17 76  0  0
 0  0  31884 108868  30396 631332    0    0    12     4  219  524  8  4 88  0  0
 0  0  31884 108868  30400 631332    0    0    12    84  464  465  6  9 85  0  0
 0  0  31884 108868  30400 631336    0    0    12     4  269  403  5  3 92  0  0
 1  0  31884 108868  30400 631336    0    0     0    20  588  335  2  7 91  0  0
 0  0  31884 108868  30412 631372    0    0    12   124  527  457  5 12 83  0  0
 0  0  31884 108868  30412 631372    0    0     0     0  651  379  5 10 85  0  0
 0  0  31884 108868  30412 631344    0    0    12     4  575  506 10 10 79  0  0
 0  0  31884 108900  30412 631344    0    0     0     0  458  474  5  4 91  0  0
 0  0  31884 104224  30412 631248    0    0    12     4  945  984 10 18 71  0  0
 0  0  31884 104224  30416 631248    0    0     0    88  663  399  4 12 83  1  0
 1  0  31884 104224  30416 631248    0    0    12     4  258  421  6  3 91  0  0
 0  0  31884 109840  30416 631252    0    0     0     0  594  402  4  9 86  0  0
 0  0  31884 109872  30416 631252    0    0    12     4  572  468  5 11 84  0  0
 0  0  31884 109872  30416 631256    0    0    12    64  347  385  5  7 88  0  0
 0  0  31884 109872  30420 631256    0    0    12    72  740  510  6 11 82  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  247  407  6  3 91  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  817  480  6 16 77  0  0
 0  0  31884 109872  30420 631260    0    0    12     4  460  458  6  9 85  0  0
 0  0  31884 109872  30420 631260    0    0    12   548  645  523  7 10 83  0  0
 0  0  31884 109872  30420 631264    0    0    12     4  410  375  3  4 93  0  0
 0  0  31884 109872  30424 631264    0    0    12    64  517  439  5  4 91  0  0
 0  0  31884 109620  30424 631264    0    0    12     4  784  480  6 12 82  0  0
 0  0  31884 109620  30424 631268    0    0    12     4  205  341  2  2 96  0  0
 0  0  31884 109620  30424 631272    0    0    12     4 1160  516  7 15 78  0  0
 0  0  31884 109620  30424 631272    0    0    12     4  855  544  5 16 79  0  0
 0  0  31884 109620  30428 631272    0    0    12    56  385  432  4  4 92  0  0
 0  0  31884 109620  30428 631272    0    0    12     4  821  493  5 11 83  0  0
 1  0  31884 109620  30428 631276    0    0    12     4  609  420  7  6 86  0  0
 1  0  31884 109620  30428 631276    0    0    12   184  468  437  4  8 88  0  0
 1  0  31884 109620  30428 631280    0    0    12   256  665  456  3  9 88  0  0
 0  0  31884 109620  30436 631280    0    0    12    72  427  436  8  8 84  0  0
 0  0  31884 109620  30436 631284    0    0    12     4  518  458  7  8 85  0  0
 0  0  31884 109620  30436 631284    0    0    12     4  890  446  3 15 82  0  0
 0  0  31884 109620  30436 631284    0    0    12     4 1184  547  6 21 73  0  0
 0  0  31884 109620  30436 631284    0    0    12    24  391  371  6  5 89  0  0
 0  0  31884 109620  30444 631292    0    0    12    68  541  481  5  7 88  0  0
 0  0  31884 109620  30444 631292    0    0    12     4  603  438  5  6 89  0  0
 0  0  31884 109620  30444 631292    0    0    16     4  440  421  5  3 92  0  0
 0  0  31884 109620  30444 631292    0    0    16     4  744  461  5  8 87  0  0
 0  0  31884 109620  30444 631296    0    0    16    36  732  486  7  9 84  0  0
 0  0  31884 109620  30452 631296    0    0    16    64  383  405  4  3 92  1  0
 0  0  31884 109620  30452 631296    0    0    16     4 1069  506  3 20 76  0  0
 0  0  31884 109620  30452 631296    0    0    16     4  217  419 10  3 87  0  0
 0  0  31884 109620  30452 631300    0    0    16     4  519  419  6  5 89  0  0
 0  0  31884 109620  30452 631304    0    0    16    28  587  465  7 10 83  0  0
 0  0  31884 109620  30460 631304    0    0    16    56  175  419  7  2 91  0  0
 0  0  31884 109620  30460 631304    0    0    16     4  701  503  5 10 85  0  0
 0  0  31884 109620  30460 631308    0    0    16     4  185  405  8  2 90  0  0
 0  0  31884 109620  30460 631308    0    0    16     4  857  513  4 14 81  0  0
 0  0  31884 109620  30460 631308    0    0    16   416  393  362  4  4 92  0  0
 0  0  31884 109620  30464 631308    0    0    16    64  419  444  7  6 87  0  0
 0  0  31884 109620  30464 631312    0    0    16     4  841  491  6 12 82  0  0
 0  0  31884 109368  30464 631316    0    0    16     4  381  353  2  6 92  0  0
 3  0  31884 109368  30464 631316    0    0    16     4  626  401  5 10 85  0  0
 0  0  31884 109368  30464 631316    0    0     0     0  662  418  3 11 86  0  0
 0  0  31884 109368  30472 631320    0    0     0    52  449  348  5  5 90  0  0
 0  0  31884 109116  30472 631320    0    0    16     4  757  555  4 12 84  0  0
 0  0  31884 109116  30472 631320    0    0    16     4  623  475  6  9 85  0  0
 0  0  31884 109116  30472 631320    0    0    16     4  402  358  4  7 89  0  0
 0  0  31884 109368  30472 631324    0    0    16     4  673  508  7 18 75  0  0
 1  0  31884 109368  30480 631328    0    0    16    72  259  425  5  3 92  0  0
 0  0  31884 109368  30480 631328    0    0    16     4  743  466  5  9 86  0  0
 0  0  31884 109368  30480 631328    0    0    16     4  443  381  4  4 92  0  0
 0  0  31884 109368  30480 631332    0    0    16     4  676  463  8 13 79  0  0
 0  0  31884 109368  30480 631332    0    0    16    24  662  477  5 14 81  0  0
 0  0  31884 109368  30488 631332    0    0    16    64  887  526  7 15 77  0  0
 0  0  31884 109368  30504 631332    0    0    16   120  384  500  7  5 88  0  0
 0  0  31884 109368  30504 631332    0    0    16     4  665  412  5  9 86  0  0
